"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"UBC4" "OTHER" "1" "UBC4" "S. cerevisiae" "UBiquitin-Conjugating" "542" "YBR082C" "S000000286" "ORF"
"HOS2" "OTHER" "1" "HOS2" "S. cerevisiae" "Hda One Similar" "1359" "YGL194C" "S000003162" "ORF"
"SNT1" "OTHER" "1" "SNT1" "S. cerevisiae" "SaNT domains" "3681" "YCR033W" "S000000629" "ORF"
"CIN8" "OTHER" "1" "CIN8" "S. cerevisiae" "Chromosome INstability" "3003" "YEL061C" "S000000787" "ORF"
"SPT4" "OTHER" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"RTF1" "OTHER" "1" "RTF1" "S. cerevisiae" "Restores TBP Function" "1677" "YGL244W" "S000003213" "ORF"
"MSC1" "OTHER" "1" "MSC1" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1542" "YML128C" "S000004597" "ORF"
"GLN3" "OTHER" "1" "GLN3" "S. cerevisiae" "GLutamiNe metabolism" "2193" "YER040W" "S000000842" "ORF"
"SRO9" "OTHER" "1" "SRO9" "S. cerevisiae" "Suppressor of rho3" "1305" "YCL037C" "S000000542" "ORF"
"CCR4" "OTHER" "1" "CCR4" "S. cerevisiae" "Carbon Catabolite Repression" "2514" "YAL021C" "S000000019" "ORF"
"INP52" "OTHER" "1" "INP52" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "3552" "YNL106C" "S000005050" "ORF"
"SAS4" "OTHER" "1" "SAS4" "S. cerevisiae" "Something About Silencing" "1446" "YDR181C" "S000002589" "ORF"
"SWD1" "OTHER" "1" "SWD1" "S. cerevisiae" "Set1c, WD40 repeat protein" "1281" "YAR003W" "S000000064" "ORF"
"RGP1" "OTHER" "1" "RGP1" "S. cerevisiae" "Reduced Growth Phenotype" "1992" "YDR137W" "S000002544" "ORF"
"BMH1" "OTHER" "1" "BMH1" "S. cerevisiae" "Brain Modulosignalin Homolog" "804" "YER177W" "S000000979" "ORF"
"SNF2" "OTHER" "1" "SNF2" "S. cerevisiae" "Sucrose NonFermenting" "5112" "YOR290C" "S000005816" "ORF"
"RSC2" "OTHER" "1" "RSC2" "S. cerevisiae" "Remodel the Structure of Chromatin" "2670" "YLR357W" "S000004349" "ORF"
"SWC5" "OTHER" "1" "SWC5" "S. cerevisiae" "SWr Complex" "912" "YBR231C" "S000000435" "ORF"
"RRP8" "OTHER" "1" "RRP8" "S. cerevisiae" "Ribosomal RNA Processing" "1179" "YDR083W" "S000002490" "ORF"
"SAP155" "OTHER" "1" "SAP155" "S. cerevisiae" "Sit4 Associated Protein" "3009" "YFR040W" "S000001936" "ORF"
"HOM2" "OTHER" "1" "HOM2" "S. cerevisiae" "HOMoserine requiring" "1098" "YDR158W" "S000002565" "ORF"
"NHP10" "OTHER" "1" "NHP10" "S. cerevisiae" "Non-Histone Protein" "612" "YDL002C" "S000002160" "ORF"
"SNF12" "OTHER" "1" "SNF12" "S. cerevisiae" "Sucrose NonFermenting" "1701" "YNR023W" "S000005306" "ORF"
"SSK1" "OTHER" "1" "SSK1" "S. cerevisiae" "Suppressor of Sensor Kinase" "2139" "YLR006C" "S000003996" "ORF"
"SET2" "OTHER" "1" "SET2" "S. cerevisiae" "SET domain-containing" "2202" "YJL168C" "S000003704" "ORF"
"RAD52" "OTHER" "1" "RAD52" "S. cerevisiae" "RADiation sensitive" "1416" "YML032C" "S000004494" "ORF"
"LEO1" "OTHER" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
"SAM4" "OTHER" "1" "SAM4" "S. cerevisiae" "S-AdenosylMethionine metabolism" "978" "YPL273W" "S000006194" "ORF"
"YHR033W" "OTHER" "1" "" "S. cerevisiae" "" "1272" "YHR033W" "S000001075" "ORF"
"UME1" "OTHER" "1" "UME1" "S. cerevisiae" "Unscheduled Meiotic gene Expression" "1383" "YPL139C" "S000006060" "ORF"
"HIR2" "OTHER" "1" "HIR2" "S. cerevisiae" "HIstone Regulation" "2628" "YOR038C" "S000005564" "ORF"
"HTL1" "OTHER" "1" "HTL1" "S. cerevisiae" "High-Temperature Lethal" "237" "YCR020W-B" "S000006439" "ORF"
"CMK1" "OTHER" "1" "CMK1" "S. cerevisiae" "CalModulin dependent protein Kinase" "1341" "YFR014C" "S000001910" "ORF"
"YDR266C" "OTHER" "1" "HEL2" "S. cerevisiae" "Histone E3 Ligase" "1920" "YDR266C" "S000002674" "ORF"
"SSM4" "OTHER" "1" "SSM4" "S. cerevisiae" "Suppressor of mrna Stability Mutant" "3960" "YIL030C" "S000001292" "ORF"
"STP1" "OTHER" "1" "STP1" "S. cerevisiae" "Species-specific tRNA Processing" "1560" "YDR463W" "S000002871" "ORF"
"OPI1" "OTHER" "1" "OPI1" "S. cerevisiae" "OverProducer of Inositol" "1215" "YHL020C" "S000001012" "ORF"
"RTT109" "OTHER" "1" "RTT109" "S. cerevisiae" "Regulator of Ty1 Transposition" "1311" "YLL002W" "S000003925" "ORF"
"ACE2" "OTHER" "1" "ACE2" "S. cerevisiae" "Activator of CUP1 Expression" "2313" "YLR131C" "S000004121" "ORF"
"ELM1" "OTHER" "1" "ELM1" "S. cerevisiae" "ELongated Morphology" "1923" "YKL048C" "S000001531" "ORF"
"TIP41" "OTHER" "1" "TIP41" "S. cerevisiae" "Tap42 Interacting Protein" "1071" "YPR040W" "S000006244" "ORF"
"SNF5" "OTHER" "1" "SNF5" "S. cerevisiae" "Sucrose NonFermenting" "2718" "YBR289W" "S000000493" "ORF"
"IKI1" "OTHER" "1" "IKI1" "S. cerevisiae" "Insensitive to KIller toxin" "930" "YHR187W" "S000001230" "ORF"
"EAF3" "OTHER" "1" "EAF3" "S. cerevisiae" "Esa1p-Associated Factor" "1206" "YPR023C" "S000006227" "ORF"
"SLX9" "OTHER" "1" "SLX9" "S. cerevisiae" "" "633" "YGR081C" "S000003313" "ORF"
"PEP7" "OTHER" "1" "PEP7" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "1548" "YDR323C" "S000002731" "ORF"
"UFD4" "OTHER" "1" "UFD4" "S. cerevisiae" "Ubiquitin Fusion Degradation protein" "4452" "YKL010C" "S000001493" "ORF"
"RGT1" "OTHER" "1" "RGT1" "S. cerevisiae" "Restores Glucose Transport" "3513" "YKL038W" "S000001521" "ORF"
"CLN2" "OTHER" "1" "CLN2" "S. cerevisiae" "CycLiN" "1638" "YPL256C" "S000006177" "ORF"
"MSH2" "OTHER" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"SAM3" "OTHER" "1" "SAM3" "S. cerevisiae" "S-AdenosylMethionine metabolism" "1764" "YPL274W" "S000006195" "ORF"
"NCS2" "OTHER" "1" "NCS2" "S. cerevisiae" "Needs Cla4 to Survive" "1482" "YNL119W" "S000005063" "ORF"
"RAM1" "OTHER" "1" "RAM1" "S. cerevisiae" "RAS protein and A-factor Maturation" "1296" "YDL090C" "S000002248" "ORF"
"SWT21" "OTHER" "1" "SWT21" "S. cerevisiae" "Synthetic With Tgs1" "1074" "YNL187W" "S000005131" "ORF"
"SER2" "OTHER" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"IRE1" "OTHER" "1" "IRE1" "S. cerevisiae" "Inositol REquiring" "3348" "YHR079C" "S000001121" "ORF"
"AFT1" "OTHER" "1" "AFT1" "S. cerevisiae" "Activator of Ferrous Transport" "2073" "YGL071W" "S000003039" "ORF"
"PSY2" "OTHER" "1" "PSY2" "S. cerevisiae" "Platinum SensitivitY" "2577" "YNL201C" "S000005145" "ORF"
"SKO1" "OTHER" "1" "SKO1" "S. cerevisiae" "Suppressor of Kinase Overexpression" "1944" "YNL167C" "S000005111" "ORF"
"CDC73" "OTHER" "1" "CDC73" "S. cerevisiae" "Cell Division Cycle" "1182" "YLR418C" "S000004410" "ORF"
"HOS3" "OTHER" "1" "HOS3" "S. cerevisiae" "Hda One Similar" "2094" "YPL116W" "S000006037" "ORF"
"YLR278C" "OTHER" "1" "" "S. cerevisiae" "" "4026" "YLR278C" "S000004268" "ORF"
"DUN1" "OTHER" "1" "DUN1" "S. cerevisiae" "DNA-damage UNinducible" "1542" "YDL101C" "S000002259" "ORF"
"IOC4" "OTHER" "1" "IOC4" "S. cerevisiae" "Iswi One Complex" "1428" "YMR044W" "S000004647" "ORF"
"VPS9" "OTHER" "1" "VPS9" "S. cerevisiae" "Vacuolar Protein Sorting" "1356" "YML097C" "S000004563" "ORF"
"IXR1" "OTHER" "1" "IXR1" "S. cerevisiae" "Intrastrand cross (X)-link Recognition" "1794" "YKL032C" "S000001515" "ORF"
"IRC3" "OTHER" "1" "IRC3" "S. cerevisiae" "Increased Recombination Centers" "2070" "YDR332W" "S000002740" "ORF"
"OCA5" "OTHER" "1" "OCA5" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "2040" "YHL029C" "S000001021" "ORF"
"ARP6" "OTHER" "1" "ARP6" "S. cerevisiae" "Actin-Related Protein" "1317" "YLR085C" "S000004075" "ORF"
"GIS4" "OTHER" "1" "GIS4" "S. cerevisiae" "GIg1-2 Suppressor" "2325" "YML006C" "S000004465" "ORF"
"RPA49" "OTHER" "1" "RPA49" "S. cerevisiae" "RNA Polymerase A" "1248" "YNL248C" "S000005192" "ORF"
"CSM1" "OTHER" "1" "CSM1" "S. cerevisiae" "Chromosome Segregation in Meiosis" "573" "YCR086W" "S000000682" "ORF"
"NUP170" "OTHER" "1" "NUP170" "S. cerevisiae" "NUclear Pore" "4509" "YBL079W" "S000000175" "ORF"
"YPL199C" "OTHER" "1" "" "S. cerevisiae" "" "723" "YPL199C" "S000006120" "ORF"
"PTP3" "OTHER" "1" "PTP3" "S. cerevisiae" "Protein Tyrosine Phosphatase" "2787" "YER075C" "S000000877" "ORF"
"PPT1" "OTHER" "1" "PPT1" "S. cerevisiae" "Protein Phosphatase T" "1542" "YGR123C" "S000003355" "ORF"
"ISW1" "OTHER" "1" "ISW1" "S. cerevisiae" "Imitation SWitch subfamily" "3390" "YBR245C" "S000000449" "ORF"
"DAL81" "OTHER" "1" "DAL81" "S. cerevisiae" "Degradation of Allantoin" "2913" "YIR023W" "S000001462" "ORF"
"YHR033W" "OTHER" "1" "" "S. cerevisiae" "" "1272" "YHR033W" "S000001075" "ORF"
"NMD2" "OTHER" "1" "NMD2" "S. cerevisiae" "Nonsense-mediated MRNA Decay" "3383" "YHR077C" "S000001119" "ORF"
"IRA2" "OTHER" "1" "IRA2" "S. cerevisiae" "Inhibitory Regulator of the RAS-cAMP pathway" "9240" "YOL081W" "S000005441" "ORF"
"MRC1" "OTHER" "1" "MRC1" "S. cerevisiae" "Mediator of the Replication Checkpoint" "3291" "YCL061C" "S000000566" "ORF"
"STP3" "OTHER" "1" "STP3" "S. cerevisiae" "protein with similarity to Stp1p" "1032" "YLR375W" "S000004367" "ORF"
"SKI3" "OTHER" "1" "SKI3" "S. cerevisiae" "SuperKIller" "4299" "YPR189W" "S000006393" "ORF"
"YCK3" "OTHER" "1" "YCK3" "S. cerevisiae" "Yeast Casein Kinase" "1575" "YER123W" "S000000925" "ORF"
"STE14" "OTHER" "1" "STE14" "S. cerevisiae" "STErile" "720" "YDR410C" "S000002818" "ORF"
"SUS1" "OTHER" "1" "SUS1" "S. cerevisiae" "Sl gene Upstream of ySa1" "441" "YBR111W-A" "S000028510" "ORF"
"HFM1" "OTHER" "1" "HFM1" "S. cerevisiae" "Helicase Family Member" "3716" "YGL251C" "S000003220" "ORF"
"EDC1" "OTHER" "1" "EDC1" "S. cerevisiae" "Enhancer of mRNA DeCapping" "528" "YGL222C" "S000003190" "ORF"
"CAR2" "OTHER" "1" "CAR2" "S. cerevisiae" "Catabolism of ARginine" "1275" "YLR438W" "S000004430" "ORF"
"HAL9" "OTHER" "1" "HAL9" "S. cerevisiae" "HALotolerance" "3093" "YOL089C" "S000005449" "ORF"
"TRM10" "OTHER" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"BUD21" "OTHER" "1" "BUD21" "S. cerevisiae" "BUD site selection" "645" "YOR078W" "S000005604" "ORF"
"NEW1" "OTHER" "1" "NEW1" "S. cerevisiae" "Nu+" "3591" "YPL226W" "S000006147" "ORF"
"SET3" "OTHER" "1" "SET3" "S. cerevisiae" "SET domain-containing" "2256" "YKR029C" "S000001737" "ORF"
"YMR031C" "OTHER" "1" "EIS1" "S. cerevisiae" "EISosome" "2532" "YMR031C" "S000004633" "ORF"
"YLR352W" "OTHER" "1" "LUG1" "S. cerevisiae" "Lets [URE3]/ure2 Grow" "2424" "YLR352W" "S000004344" "ORF"
"SET4" "OTHER" "1" "SET4" "S. cerevisiae" "SET domain-containing" "1683" "YJL105W" "S000003641" "ORF"
"RAI1" "OTHER" "1" "RAI1" "S. cerevisiae" "Rat1p Interacting Protein" "1164" "YGL246C" "S000003215" "ORF"
"SNF12" "OTHER" "1" "SNF12" "S. cerevisiae" "Sucrose NonFermenting" "1701" "YNR023W" "S000005306" "ORF"
"PTP3" "OTHER" "1" "PTP3" "S. cerevisiae" "Protein Tyrosine Phosphatase" "2787" "YER075C" "S000000877" "ORF"
"YPL199C" "OTHER" "1" "" "S. cerevisiae" "" "723" "YPL199C" "S000006120" "ORF"
"MSG5" "OTHER" "1" "MSG5" "S. cerevisiae" "Multicopy Suppressor of GPA1" "1470" "YNL053W" "S000004998" "ORF"
"DUN1" "OTHER" "1" "DUN1" "S. cerevisiae" "DNA-damage UNinducible" "1542" "YDL101C" "S000002259" "ORF"
"SPT23" "OTHER" "1" "SPT23" "S. cerevisiae" "SuPpressor of Ty" "3249" "YKL020C" "S000001503" "ORF"
"IOC4" "OTHER" "1" "IOC4" "S. cerevisiae" "Iswi One Complex" "1428" "YMR044W" "S000004647" "ORF"
"ARG81" "OTHER" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"ARP6" "OTHER" "1" "ARP6" "S. cerevisiae" "Actin-Related Protein" "1317" "YLR085C" "S000004075" "ORF"
"PSY2" "OTHER" "1" "PSY2" "S. cerevisiae" "Platinum SensitivitY" "2577" "YNL201C" "S000005145" "ORF"
"CDC73" "OTHER" "1" "CDC73" "S. cerevisiae" "Cell Division Cycle" "1182" "YLR418C" "S000004410" "ORF"
"ISW1" "OTHER" "1" "ISW1" "S. cerevisiae" "Imitation SWitch subfamily" "3390" "YBR245C" "S000000449" "ORF"
"STP3" "OTHER" "1" "STP3" "S. cerevisiae" "protein with similarity to Stp1p" "1032" "YLR375W" "S000004367" "ORF"
"RAI1" "OTHER" "1" "RAI1" "S. cerevisiae" "Rat1p Interacting Protein" "1164" "YGL246C" "S000003215" "ORF"
"LSM6" "OTHER" "1" "LSM6" "S. cerevisiae" "Like SM" "261" "YDR378C" "S000002786" "ORF"
"EAF1" "OTHER" "1" "EAF1" "S. cerevisiae" "Esa1p-Associated Factor" "2949" "YDR359C" "S000002767" "ORF"
"GSY2" "OTHER" "1" "GSY2" "S. cerevisiae" "Glycogen SYnthase" "2118" "YLR258W" "S000004248" "ORF"
"RCY1" "OTHER" "1" "RCY1" "S. cerevisiae" "ReCYcling" "2523" "YJL204C" "S000003740" "ORF"
"IRC3" "OTHER" "1" "IRC3" "S. cerevisiae" "Increased Recombination Centers" "2070" "YDR332W" "S000002740" "ORF"
"UTP30" "OTHER" "1" "UTP30" "S. cerevisiae" "U Three Protein" "825" "YKR060W" "S000001768" "ORF"
"SPO7" "OTHER" "1" "SPO7" "S. cerevisiae" "SPOrulation" "780" "YAL009W" "S000000007" "ORF"
"ARG80" "OTHER" "1" "ARG80" "S. cerevisiae" "ARGinine requiring" "534" "YMR042W" "S000004645" "ORF"
"VPS4" "OTHER" "1" "VPS4" "S. cerevisiae" "Vacuolar Protein Sorting" "1314" "YPR173C" "S000006377" "ORF"
"SKO1" "OTHER" "1" "SKO1" "S. cerevisiae" "Suppressor of Kinase Overexpression" "1944" "YNL167C" "S000005111" "ORF"
"SAN1" "OTHER" "1" "SAN1" "S. cerevisiae" "Sir Antagonist" "1833" "YDR143C" "S000002550" "ORF"
"TSR2" "OTHER" "1" "TSR2" "S. cerevisiae" "Twenty S rRNA accumulation" "618" "YLR435W" "S000004427" "ORF"
"TRM1" "OTHER" "1" "TRM1" "S. cerevisiae" "tRNA Methyltransferase" "1713" "YDR120C" "S000002527" "ORF"
"SUS1" "OTHER" "1" "SUS1" "S. cerevisiae" "Sl gene Upstream of ySa1" "441" "YBR111W-A" "S000028510" "ORF"
"RAD18" "OTHER" "1" "RAD18" "S. cerevisiae" "RADiation sensitive" "1464" "YCR066W" "S000000662" "ORF"
"TRM10" "OTHER" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"CLA4" "OTHER" "1" "CLA4" "S. cerevisiae" "CLn Activity dependant" "2529" "YNL298W" "S000005242" "ORF"
"IRA2" "OTHER" "1" "IRA2" "S. cerevisiae" "Inhibitory Regulator of the RAS-cAMP pathway" "9240" "YOL081W" "S000005441" "ORF"
"RCY1" "OTHER" "1" "RCY1" "S. cerevisiae" "ReCYcling" "2523" "YJL204C" "S000003740" "ORF"
"CLA4" "OTHER" "1" "CLA4" "S. cerevisiae" "CLn Activity dependant" "2529" "YNL298W" "S000005242" "ORF"
"MED12" "OTHER" "1" "SRB8" "S. cerevisiae" "Suppressor of RNA polymerase B" "4284" "YCR081W" "S000000677" "ORF"
"TRM1" "OTHER" "1" "TRM1" "S. cerevisiae" "tRNA Methyltransferase" "1713" "YDR120C" "S000002527" "ORF"
"SAN1" "OTHER" "1" "SAN1" "S. cerevisiae" "Sir Antagonist" "1833" "YDR143C" "S000002550" "ORF"
"UBP6" "OTHER" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"OCA4" "OTHER" "1" "OCA4" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "1089" "YCR095C" "S000000691" "ORF"
"SET3" "OTHER" "1" "SET3" "S. cerevisiae" "SET domain-containing" "2256" "YKR029C" "S000001737" "ORF"
"SET4" "OTHER" "1" "SET4" "S. cerevisiae" "SET domain-containing" "1683" "YJL105W" "S000003641" "ORF"
"GGA2" "OTHER" "1" "GGA2" "S. cerevisiae" "Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein" "1758" "YHR108W" "S000001150" "ORF"
"TSR2" "OTHER" "1" "TSR2" "S. cerevisiae" "Twenty S rRNA accumulation" "618" "YLR435W" "S000004427" "ORF"
"SKI3" "OTHER" "1" "SKI3" "S. cerevisiae" "SuperKIller" "4299" "YPR189W" "S000006393" "ORF"
"SPT23" "OTHER" "1" "SPT23" "S. cerevisiae" "SuPpressor of Ty" "3249" "YKL020C" "S000001503" "ORF"
"EAF1" "OTHER" "1" "EAF1" "S. cerevisiae" "Esa1p-Associated Factor" "2949" "YDR359C" "S000002767" "ORF"
"LSM6" "OTHER" "1" "LSM6" "S. cerevisiae" "Like SM" "261" "YDR378C" "S000002786" "ORF"
"CSM1" "OTHER" "1" "CSM1" "S. cerevisiae" "Chromosome Segregation in Meiosis" "573" "YCR086W" "S000000682" "ORF"
"SPO7" "OTHER" "1" "SPO7" "S. cerevisiae" "SPOrulation" "780" "YAL009W" "S000000007" "ORF"
"RPL16A" "OTHER" "1" "RPL16A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "890" "YIL133C" "S000001395" "ORF"
"UFD2" "OTHER" "1" "UFD2" "S. cerevisiae" "Ubiquitin Fusion Degradation" "2886" "YDL190C" "S000002349" "ORF"
"EDC1" "OTHER" "1" "EDC1" "S. cerevisiae" "Enhancer of mRNA DeCapping" "528" "YGL222C" "S000003190" "ORF"
"CAR2" "OTHER" "1" "CAR2" "S. cerevisiae" "Catabolism of ARginine" "1275" "YLR438W" "S000004430" "ORF"
"SRO9" "OTHER" "1" "SRO9" "S. cerevisiae" "Suppressor of rho3" "1305" "YCL037C" "S000000542" "ORF"
"SET2" "OTHER" "1" "SET2" "S. cerevisiae" "SET domain-containing" "2202" "YJL168C" "S000003704" "ORF"
"TIP41" "OTHER" "1" "TIP41" "S. cerevisiae" "Tap42 Interacting Protein" "1071" "YPR040W" "S000006244" "ORF"
"REG1" "OTHER" "1" "REG1" "S. cerevisiae" "REsistance to Glucose repression" "3045" "YDR028C" "S000002435" "ORF"
"RSC2" "OTHER" "1" "RSC2" "S. cerevisiae" "Remodel the Structure of Chromatin" "2670" "YLR357W" "S000004349" "ORF"
"THP1" "OTHER" "1" "THP1" "S. cerevisiae" "Tho2/Hpr1 Phenotype" "1368" "YOL072W" "S000005433" "ORF"
"LSM12" "OTHER" "1" "LSM12" "S. cerevisiae" "Like SM" "564" "YHR121W" "S000001163" "ORF"
"RPL16A" "OTHER" "1" "RPL16A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "890" "YIL133C" "S000001395" "ORF"
"SFP1" "OTHER" "1" "SFP1" "S. cerevisiae" "Split Finger Protein" "2052" "YLR403W" "S000004395" "ORF"
"DBR1" "OTHER" "1" "DBR1" "S. cerevisiae" "DeBRanching" "1218" "YKL149C" "S000001632" "ORF"
"OCA4" "OTHER" "1" "OCA4" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "1089" "YCR095C" "S000000691" "ORF"
"RGT1" "OTHER" "1" "RGT1" "S. cerevisiae" "Restores Glucose Transport" "3513" "YKL038W" "S000001521" "ORF"
"DDR48" "OTHER" "1" "DDR48" "S. cerevisiae" "DNA Damage Responsive" "1293" "YMR173W" "S000004784" "ORF"
"GSY2" "OTHER" "1" "GSY2" "S. cerevisiae" "Glycogen SYnthase" "2118" "YLR258W" "S000004248" "ORF"
"MSG5" "OTHER" "1" "MSG5" "S. cerevisiae" "Multicopy Suppressor of GPA1" "1470" "YNL053W" "S000004998" "ORF"
"SPT4" "OTHER" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"SIT4" "OTHER" "1" "SIT4" "S. cerevisiae" "Suppressor of Initiation of Transcription" "936" "YDL047W" "S000002205" "ORF"
"SNT1" "OTHER" "1" "SNT1" "S. cerevisiae" "SaNT domains" "3681" "YCR033W" "S000000629" "ORF"
"TUP1" "OTHER" "1" "TUP1" "S. cerevisiae" "dTMP-UPtake" "2142" "YCR084C" "S000000680" "ORF"
"UBP1" "OTHER" "1" "UBP1" "S. cerevisiae" "UBiquitin-specific Protease" "2430" "YDL122W" "S000002280" "ORF"
"ZWF1" "OTHER" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"UBP6" "OTHER" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"RAD18" "OTHER" "1" "RAD18" "S. cerevisiae" "RADiation sensitive" "1464" "YCR066W" "S000000662" "ORF"
"MED15" "OTHER" "1" "GAL11" "S. cerevisiae" "GALactose metabolism" "3246" "YOL051W" "S000005411" "ORF"
"CKA1" "OTHER" "1" "CKA1" "S. cerevisiae" "Casein Kinase Alpha subunit" "1119" "YIL035C" "S000001297" "ORF"
"PUS1" "OTHER" "1" "PUS1" "S. cerevisiae" "PseudoUridine Synthase" "1635" "YPL212C" "S000006133" "ORF"
"ARG81" "OTHER" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"RGP1" "OTHER" "1" "RGP1" "S. cerevisiae" "Reduced Growth Phenotype" "1992" "YDR137W" "S000002544" "ORF"
"CKB2" "OTHER" "1" "CKB2" "S. cerevisiae" "Casein Kinase Beta' subunit" "777" "YOR039W" "S000005565" "ORF"
"RTT103" "OTHER" "1" "RTT103" "S. cerevisiae" "Regulator of Ty1 Transposition" "1230" "YDR289C" "S000002697" "ORF"
"IRS4" "OTHER" "1" "IRS4" "S. cerevisiae" "Increased rDNA Silencing" "1848" "YKR019C" "S000001727" "ORF"
"LOS1" "OTHER" "1" "LOS1" "S. cerevisiae" "Loss Of Suppression" "3303" "YKL205W" "S000001688" "ORF"
"GGA2" "OTHER" "1" "GGA2" "S. cerevisiae" "Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein" "1758" "YHR108W" "S000001150" "ORF"
"LEU3" "OTHER" "1" "LEU3" "S. cerevisiae" "LEUcine biosynthesis" "2661" "YLR451W" "S000004443" "ORF"
"CTF4" "OTHER" "1" "CTF4" "S. cerevisiae" "Chromosome Transmission Fidelity" "2784" "YPR135W" "S000006339" "ORF"
"STE7" "OTHER" "1" "STE7" "S. cerevisiae" "STErile" "1548" "YDL159W" "S000002318" "ORF"
"ECM30" "OTHER" "1" "ECM30" "S. cerevisiae" "ExtraCellular Mutant" "3825" "YLR436C" "S000004428" "ORF"
"PEX22" "OTHER" "1" "PEX22" "S. cerevisiae" "PEroXisome related" "543" "YAL055W" "S000000051" "ORF"
"MET13" "OTHER" "1" "MET13" "S. cerevisiae" "METhionine requiring" "1803" "YGL125W" "S000003093" "ORF"
"SER2" "OTHER" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"SAC3" "OTHER" "1" "SAC3" "S. cerevisiae" "Suppressor of ACtin" "3906" "YDR159W" "S000002566" "ORF"
"SNT309" "OTHER" "1" "SNT309" "S. cerevisiae" "Synthetic lethal to prp NineTeen mutation" "528" "YPR101W" "S000006305" "ORF"
"RTG3" "OTHER" "1" "RTG3" "S. cerevisiae" "ReTroGrade regulation" "1461" "YBL103C" "S000000199" "ORF"
"SSM4" "OTHER" "1" "SSM4" "S. cerevisiae" "Suppressor of mrna Stability Mutant" "3960" "YIL030C" "S000001292" "ORF"
"HHF1" "OTHER" "1" "HHF1" "S. cerevisiae" "Histone H Four" "312" "YBR009C" "S000000213" "ORF"
"YKU80" "OTHER" "1" "YKU80" "S. cerevisiae" "Yeast KU protein" "1890" "YMR106C" "S000004712" "ORF"
"IES1" "OTHER" "1" "IES1" "S. cerevisiae" "Ino Eighty Subunit" "2079" "YFL013C" "S000001881" "ORF"
"IXR1" "OTHER" "1" "IXR1" "S. cerevisiae" "Intrastrand cross (X)-link Recognition" "1794" "YKL032C" "S000001515" "ORF"
"EFG1" "OTHER" "1" "EFG1" "S. cerevisiae" "Exit From G1" "702" "YGR271C-A" "S000007608" "ORF"
"YLR278C" "OTHER" "1" "" "S. cerevisiae" "" "4026" "YLR278C" "S000004268" "ORF"
"YOL138C" "OTHER" "1" "RTC1" "S. cerevisiae" "Restriction of Telomere Capping" "4026" "YOL138C" "S000005498" "ORF"
"RTS1" "OTHER" "1" "RTS1" "S. cerevisiae" "Rox Three Suppressor" "2274" "YOR014W" "S000005540" "ORF"
"NRG1" "OTHER" "1" "NRG1" "S. cerevisiae" "Negative Regulator of Glucose-repressed genes" "696" "YDR043C" "S000002450" "ORF"
"VPS1" "OTHER" "1" "VPS1" "S. cerevisiae" "Vacuolar Protein Sorting" "2115" "YKR001C" "S000001709" "ORF"
"UTP30" "OTHER" "1" "UTP30" "S. cerevisiae" "U Three Protein" "825" "YKR060W" "S000001768" "ORF"
"SWI4" "OTHER" "1" "SWI4" "S. cerevisiae" "SWItching deficient" "3282" "YER111C" "S000000913" "ORF"
"SSK1" "OTHER" "1" "SSK1" "S. cerevisiae" "Suppressor of Sensor Kinase" "2139" "YLR006C" "S000003996" "ORF"
"STP1" "OTHER" "1" "STP1" "S. cerevisiae" "Species-specific tRNA Processing" "1560" "YDR463W" "S000002871" "ORF"
